ts_code,trade_date,pe_ttm,pb,ps_ttm,total_mv,circ_mv
600592.SH,20251105,119.6693,3.607,6.2313,917374.999,917374.999
600997.SH,20251105,29.7496,0.7475,0.5664,1049535.7015,1049535.7015
603176.SH,20251105,,2.6743,1.1953,289893.2481,281706.4381
600216.SH,20251105,11.1933,1.2596,1.5545,1392451.462,1392445.2718
600419.SH,20251105,287.5314,1.3043,1.1382,309831.5928,309831.5928
603758.SH,20251105,36.1626,2.514,4.556,637133.3151,637133.3151
688648.SH,20251105,12.4168,3.305,6.522,737120.0,358418.7681
300403.SZ,20251105,37.3638,3.9224,7.1446,838773.0,594045.4579
301105.SZ,20251105,,2.7356,12.717,228300.0,75053.6113
301611.SZ,20251105,68.6213,13.1013,21.8552,2262404.0,760617.568
000885.SZ,20251105,7.967,1.0352,1.3987,948349.5826,948349.5826
605098.SH,20251105,17.1368,5.1288,6.2933,494892.065,494892.065
301568.SZ,20251105,45.7087,4.6564,10.577,469619.2032,216685.003
301095.SZ,20251105,134.342,4.6933,21.4199,1472065.9968,1282606.8623
300017.SZ,20251105,32.3992,2.7533,5.7986,2791475.4969,2617470.7489
300867.SZ,20251105,22.3583,1.4196,3.4924,549732.1502,387663.0839
300803.SZ,20251105,250.6208,30.6817,52.3909,8273551.9097,8143499.9113
002077.SZ,20251105,221.0546,2.9284,26.7982,981949.684,981949.684
300256.SZ,20251105,,10.2905,6.1368,954993.6155,944468.6155
002187.SZ,20251105,,1.1503,1.094,463992.247,463992.247
002895.SZ,20251105,17.4536,2.9512,2.8174,2179700.3919,2140100.2706
603129.SH,20251105,20.9118,5.243,2.043,3776297.1593,3776297.1593
300469.SZ,20251105,,40.5255,56.839,1544293.7241,1544254.7184
300532.SZ,20251105,25.4713,3.0774,2.8187,574361.617,546253.5374
002154.SZ,20251105,18.4926,1.2877,1.1453,583733.4916,471909.0312
600198.SH,20251105,156.9239,39.4149,10.3398,1080687.3355,1079316.3875
600556.SH,20251105,576.5533,3.257,3.3358,1252769.1159,1252769.1159
603995.SH,20251105,10.1373,1.1902,0.1602,680414.8337,680414.8337
301617.SZ,20251105,65.7016,6.7921,8.2273,1147165.76,286791.44
300475.SZ,20251105,265.4461,20.4238,2.0134,6877764.9646,6588490.9846
920926.BJ,20251105,51.5778,6.5522,3.71,177607.0914,161166.5818
300253.SZ,20251105,,3.5916,9.3609,2026384.76,1751754.5912
000985.SZ,20251105,,4.0684,1.3197,250204.235,250204.235
002137.SZ,20251105,,3.4875,8.4019,527261.9317,361966.8214
603183.SH,20251105,59.012,1.5008,2.8448,238633.5605,238633.5605
000498.SZ,20251105,4.2091,0.6051,0.1368,957855.9773,894246.8281
603115.SH,20251105,22.9688,2.2688,2.101,468541.7048,468541.7048
000555.SZ,20251105,,3.7436,1.7293,2074496.4531,2066266.9728
603986.SH,20251105,107.6541,8.0094,17.068,14572683.6305,14571827.2141
301058.SZ,20251105,24.9075,2.6914,1.9386,588603.1075,588603.1075
600587.SH,20251105,18.2748,1.1996,0.9713,930037.2498,926487.0012
688058.SH,20251105,,3.9992,11.6241,254568.8187,254568.8187
000737.SZ,20251105,37.213,4.2227,1.0853,2811361.4581,2811098.3242
605208.SH,20251105,95.1463,2.2653,0.8774,492270.48,492270.48
300345.SZ,20251105,,7.6262,4.0191,397426.001,306401.3172
301168.SZ,20251105,118.5269,2.4827,3.6583,536640.0,426241.2386
688293.SH,20251105,150.6889,3.0913,18.4641,651620.3817,651620.3817
300342.SZ,20251105,132.8138,5.0314,8.9964,788865.1697,777290.6897
003008.SZ,20251105,28.1223,2.3365,11.0938,245856.0,184033.4403
688198.SH,20251105,84.3292,12.207,25.7195,1520739.3883,1520739.3883
001269.SZ,20251105,,5.9712,10.6189,521627.5602,521627.5602
000789.SZ,20251105,337.6073,0.7169,0.8767,461698.8933,461698.8933
600435.SH,20251105,81.8211,7.222,4.7632,2105279.7271,2105279.7271
002184.SZ,20251105,,4.5206,2.0089,528566.3717,361037.999
601126.SH,20251105,32.0667,5.4954,3.2528,2598777.3115,2556071.0278
601988.SH,20251105,7.6475,0.6857,2.8515,183338862.3222,119925577.9474
920834.BJ,20251105,45.2788,6.7093,6.6914,200520.0084,104932.8496
600236.SH,20251105,23.3175,3.3958,6.1791,5919665.7293,5919665.7293
688667.SH,20251105,39.9425,1.917,2.6251,329525.9051,329525.9051
920978.BJ,20251105,43.5408,10.0195,7.0544,754139.2525,422816.4972
002745.SZ,20251105,60.7664,1.0048,0.7913,1337233.9255,959273.1021
603871.SH,20251105,18.0771,3.4909,2.1861,1919316.1472,1919316.1472
688125.SH,20251105,,2.8577,7.9802,532671.545,529839.6277
002306.SZ,20251105,,,4.6136,177431.55,166039.56
300363.SZ,20251105,,2.5531,3.9696,1362024.9064,1249608.0862
600620.SH,20251105,70.6228,2.9576,8.9831,438786.6752,438786.6752
600056.SH,20251105,31.0974,1.4248,0.4976,1688848.2355,1688251.8187
920832.BJ,20251105,523.4904,1.5388,3.1194,114757.7164,101324.1086
002431.SZ,20251105,,4.9295,2.1309,561973.0422,561973.0422
600718.SH,20251105,,1.3196,1.0256,1247176.362,1247176.362
300530.SZ,20251105,,105.3576,44.7795,564344.3438,519368.3377
688115.SH,20251105,2207.9133,3.4025,16.8613,421021.05,421021.05
600814.SH,20251105,28.1483,1.4819,3.2424,552779.1057,548578.0953
601212.SH,20251105,210.154,2.4094,0.4113,3717196.8045,3717196.8045
603211.SH,20251105,78.4954,4.0184,3.89,493603.328,493603.328
300317.SZ,20251105,,2.259,6.1248,351999.8837,351459.2837
300118.SZ,20251105,,1.3072,0.87,1374856.7188,1117752.2525
603518.SH,20251105,12.4434,0.8855,0.7476,321966.1711,320563.0801
600691.SH,20251105,,1.938,0.6679,700914.6758,700797.8558
301246.SZ,20251105,542.2429,1.7789,4.3681,771213.1104,308562.422
603699.SH,20251105,29.8102,11.5313,5.8184,4297190.2697,4181736.6971
002293.SZ,20251105,15.6857,2.0031,1.6911,802156.4667,795172.9124
300465.SZ,20251105,326.8149,13.9613,8.1993,936754.8926,936754.8926
920077.BJ,20251105,61.3876,3.4106,3.7681,879759.68,474484.355
600689.SH,20251105,173.7529,6.3704,2.2421,301688.0058,228458.4186
301550.SZ,20251105,110.7347,11.6487,26.76,2137300.0,1305919.445
603615.SH,20251105,,5.3993,5.9797,617850.1,617850.1
300346.SZ,20251105,86.5088,7.6961,10.7125,2648513.2523,2515903.7347
601857.SH,20251105,11.0087,1.1192,0.6118,174418991.8606,154311740.1606
603707.SH,20251105,24.9868,2.4215,4.3169,1623713.1438,1623713.1438
601500.SH,20251105,68.9788,1.1708,0.8777,718370.7122,715516.3322
300283.SZ,20251105,,3.4278,1.0797,392612.7954,290102.6166
688156.SH,20251105,,2.378,6.2961,194579.7513,194579.7513
001205.SZ,20251105,43.575,1.584,2.2768,329757.918,279766.8027
300486.SZ,20251105,,6.6715,11.73,1118437.106,1118100.9553
688389.SH,20251105,23.7102,2.8323,5.6462,595166.679,595166.679
600977.SH,20251105,,2.9148,7.1812,3222442.0,3222442.0
002105.SZ,20251105,,3.1429,2.1394,264635.14,262055.35
601728.SH,20251105,17.8839,1.3463,1.1728,61675811.4831,52322437.1431
002461.SZ,20251105,21.8341,1.8681,3.4974,2069462.1288,2069462.1288
300501.SZ,20251105,72.1101,2.079,2.7558,313918.5955,203076.5816
002253.SZ,20251105,,2.2744,20.9793,242096.7999,223510.2392
002360.SZ,20251105,,1.0791,4.7001,215752.7712,175879.4375
300949.SZ,20251105,,3.9047,6.8255,260980.2258,148386.3985
301046.SZ,20251105,167.4976,5.0656,3.3647,411351.2637,305655.0565
603988.SH,20251105,143.4171,9.0828,8.5254,609638.4,609638.4
688578.SH,20251105,22.9213,6.9929,9.5525,4544550.0,4544550.0
001391.SZ,20251105,29.7418,3.0599,3.4729,7984608.3212,561632.48
300998.SZ,20251105,,2.4877,2.5277,313568.8598,246157.8059
001218.SZ,20251105,22.5764,1.3271,0.663,301883.3849,215451.7272
603619.SH,20251105,19.183,2.3014,2.4081,979695.1989,979695.1989
002439.SZ,20251105,,1.6753,7.3921,1875247.5173,1122830.8649
603037.SH,20251105,42.8321,3.8537,4.8062,373695.9478,371660.429
300078.SZ,20251105,,7.1009,5.6198,410259.1084,408605.7433
002946.SZ,20251105,21.6541,4.1507,1.3583,1487249.716,1470024.644
001267.SZ,20251105,148.8808,8.5164,10.2749,1351268.4108,1043200.1346
601636.SH,20251105,31.6934,1.3909,1.1986,1897289.7803,1897289.7803
600900.SH,20251105,21.289,3.145,8.288,69538674.7489,68228622.9815
301017.SZ,20251105,,2.5477,0.509,505880.3343,303704.3343
600073.SH,20251105,2343.9579,1.2737,0.2844,638593.7704,638593.7704
603916.SH,20251105,39.1114,1.0338,1.1914,435673.8273,429572.4873
688328.SH,20251105,,3.0668,4.0187,254181.8898,254181.8898
002579.SZ,20251105,228.0001,3.0009,2.2277,725953.0647,691301.4416
605088.SH,20251105,24.8321,2.6123,1.7644,750429.1641,738946.4361
002568.SZ,20251105,37.5671,5.4919,8.8957,2607740.2563,1797499.8299
001300.SZ,20251105,,3.6281,7.4742,375902.4594,375902.4594
300462.SZ,20251105,60.5366,1.6149,3.1776,230876.749,175855.3695
603536.SH,20251105,,7.4124,1.7705,298613.121,296335.7443
600235.SH,20251105,85.025,1.6668,2.1299,252233.4,252233.4
300820.SZ,20251105,57.1438,4.8352,7.5929,1215580.1492,609167.8079
003000.SZ,20251105,21.8538,4.0946,2.2265,545131.0382,363058.1155
920402.BJ,20251105,,2.8706,9.1864,459623.413,297158.9987
001236.SZ,20251105,721.2378,5.9865,8.2784,1117625.5558,840708.2558
688653.SH,20251105,,3.6994,7.9237,531873.44,389074.5332
002179.SZ,20251105,28.7914,3.1246,3.3094,7422421.7592,7290803.8104
002715.SZ,20251105,,6.6785,5.8242,315054.0,315054.0
002858.SZ,20251105,,4.52,5.0342,245879.757,220467.657
688222.SH,20251105,84.238,6.5364,19.282,961231.32,961231.32
000659.SZ,20251105,,21.6297,3.6919,367710.9207,367710.9207
300076.SZ,20251105,,3.1539,23.4756,283656.0,283656.0
600658.SH,20251105,,1.263,5.0256,700234.2382,700234.2382
002697.SZ,20251105,14.7432,1.6154,0.8004,757520.0,637710.6925
002376.SZ,20251105,91.9751,1.7113,2.4363,648450.0328,625047.7624
300661.SZ,20251105,79.3662,9.0376,11.9728,4433246.1458,4251795.9437
002515.SZ,20251105,141.6937,2.9492,25.017,769950.6083,769941.3927
002906.SZ,20251105,21.5294,2.3773,1.3302,1610451.6178,1609870.3606
600939.SH,20251105,,0.8315,0.2442,623792.6448,623792.6448
603103.SH,20251105,113.6557,7.6315,4.658,1048332.6,1048332.6
301048.SZ,20251105,31.8436,2.4506,2.0668,672000.084,672000.084
603686.SH,20251105,99.4176,4.2003,2.9394,1424926.2857,1424926.2857
603879.SH,20251105,,8.3805,6.3495,214887.9751,214887.9751
300196.SZ,20251105,17.8471,1.2624,1.8872,588552.313,354406.1227
002768.SZ,20251105,16.634,2.5168,0.6743,1386087.5,903182.9188
301566.SZ,20251105,48.4359,5.1127,20.5553,735618.39,381593.9859
688306.SH,20251105,5334.9856,7.7481,5.3958,1401470.6748,1401470.6748
002135.SZ,20251105,69.4894,0.8603,0.6115,542141.7057,507319.6026
003013.SZ,20251105,11.7657,2.1879,2.3074,637806.6147,624717.3515
000526.SZ,20251105,21.3789,5.0394,1.5944,502555.2135,492650.8089
600353.SH,20251105,109.6324,7.1968,8.16,1345391.4834,1343502.8887
600750.SH,20251105,16.0918,3.874,3.0645,1347370.8793,1331114.5068
002921.SZ,20251105,,1.9719,2.3305,260995.6625,225134.8558
002328.SZ,20251105,33.4057,1.4999,1.182,498563.42,368731.5648
002024.SZ,20251105,185.8946,1.2513,0.2768,1575010.4951,1573255.0241
603806.SH,20251105,56.8015,2.6339,2.6566,4187026.294,4187026.294
000563.SZ,20251105,13.084,1.0048,6.0587,1861485.2103,1861485.2103
600078.SH,20251105,,3.8445,1.8651,667337.4809,653296.8409
603210.SH,20251105,35.9695,3.9789,3.5902,726754.0,160959.1402
301080.SZ,20251105,58.6312,3.8334,12.7493,1012963.8749,764446.4916
603663.SH,20251105,155.3223,9.0217,11.2315,1192858.6955,1191506.0555
600815.SH,20251105,,4.3366,11.9174,658189.0521,658189.0521
002050.SZ,20251105,48.5747,6.2026,6.2463,19622012.709,17176316.3108
300788.SZ,20251105,38.4519,2.5368,3.3351,574447.7268,574447.7268
002400.SZ,20251105,142.0393,3.0073,0.6955,1502756.6043,1487953.9007
600984.SH,20251105,,1.5121,2.004,504074.6139,504074.6139
603605.SH,20251105,17.6617,5.2575,2.5553,2787877.2557,2787670.6739
600986.SH,20251105,104.9098,2.545,1.7248,1329712.4114,1329712.4114
600848.SH,20251105,18.733,1.5132,2.7156,2961399.7427,2810453.0085
603456.SH,20251105,23.9319,1.9759,3.2301,1729972.5245,1729972.5245
000988.SZ,20251105,47.472,6.9844,5.5412,7616683.0055,7612766.3518
603025.SH,20251105,30.8786,8.2055,7.5247,2139510.5451,2125178.8651
600023.SH,20251105,9.7397,0.9534,0.8809,7093219.6242,7093219.6242
002683.SZ,20251105,33.9568,4.5921,1.6166,3060529.0487,2659371.1682
600212.SH,20251105,197.1592,11.2119,4.1784,604965.536,442227.986
000720.SZ,20251105,,2.0571,3.4664,485021.1864,485021.1864
000969.SZ,20251105,72.2224,4.0061,3.0079,2267449.6533,2229770.0001
603585.SH,20251105,30.3934,1.4336,1.335,364055.802,355961.862
600728.SH,20251105,53.4197,1.8158,1.3968,1426708.9056,1426708.9056
688362.SH,20251105,151.4596,5.1671,3.1188,1318471.4924,901441.4724
300791.SZ,20251105,21.7374,3.0626,1.6864,751087.5382,626946.8483
002821.SZ,20251105,32.5963,1.9517,5.38,3386335.6245,2977105.83
601127.SH,20251105,33.0344,8.7382,1.5999,23852044.9539,22047349.3644
000516.SZ,20251105,,3.2065,2.5453,1070192.6479,1053921.2966
000902.SZ,20251105,11.7691,1.6104,1.1124,1854495.9401,1689032.6311
600746.SH,20251105,65.8798,1.5894,1.4162,866539.4199,865233.1015
603773.SH,20251105,,5.8463,2.7539,682453.6861,682216.7221
301072.SZ,20251105,,3.4444,3.3303,258203.0311,165029.9307
600004.SH,20251105,17.3257,1.2309,2.9992,2345417.8185,2345417.8185
