rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,600022,-0.1177,-0.0271,65.1551,1.153,-1.91304,-1.91304,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600023,0.1216,0.3229,41.397,1.2327,-0.86353,-0.86353,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600025,0.21,0.2014,60.0391,1.8468,-1.5837,-1.5837,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600026,0.4507,0.689,45.5505,4.5938,-0.69949,-0.69949,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600027,0.3251,0.486,59.7073,2.5521,-1.45499,-1.45499,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600028,0.2046,-0.046,55.8931,2.0447,-1.45468,-1.45468,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600029,0.391,0.2678,83.9662,4.0776,-2.36066,-2.36066,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600030,0.3406,5.0714,84.8417,3.1218,-1.5039,-1.5039,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600031,0.2752,0.3851,47.4353,2.7732,-0.97456,-0.97456,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600032,0.0221,0.1539,66.347,0.2213,-1.97265,-1.97265,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600033,0.2031,0.206,14.1198,2.0455,0.26648,0.26648,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600035,0.2653,0.2613,55.3352,2.6636,-1.32359,-1.32359,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600036,0.3318,4.9901,90.4294,2.9627,-1.75515,-1.75515,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600037,0.0529,0.027,18.1994,0.5304,-0.04851,-0.04851,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600038,0.0215,4.8653,65.3548,0.2151,-0.99135,-0.99135,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600039,0.2793,-0.3786,78.1159,2.7967,-2.35247,-2.35247,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600048,0.0494,0.7245,71.9004,0.4745,-2.06107,-2.06107,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
