ticker,report_period,ann_date,known_at,available_at,source_file,source_mode
000677,20260331,20260430,20260430,20260430,000677_fin.csv,REAL_FUNDAMENTALS
000678,20260331,20260430,20260430,20260430,000678_fin.csv,REAL_FUNDAMENTALS
000679,20260331,20260430,20260430,20260430,000679_fin.csv,REAL_FUNDAMENTALS
000680,20260331,20260430,20260430,20260430,000680_fin.csv,REAL_FUNDAMENTALS
000681,20260331,20260430,20260430,20260430,000681_fin.csv,REAL_FUNDAMENTALS
000682,20260331,20260429,20260429,20260429,000682_fin.csv,REAL_FUNDAMENTALS
000683,20260331,20260421,20260421,20260421,000683_fin.csv,REAL_FUNDAMENTALS
000685,20260331,20260430,20260430,20260430,000685_fin.csv,REAL_FUNDAMENTALS
000686,20260331,20260425,20260425,20260425,000686_fin.csv,REAL_FUNDAMENTALS
000688,20260331,20260423,20260423,20260423,000688_fin.csv,REAL_FUNDAMENTALS
000690,20260331,20260428,20260428,20260428,000690_fin.csv,REAL_FUNDAMENTALS
000691,20260331,20260430,20260430,20260430,000691_fin.csv,REAL_FUNDAMENTALS
000692,20260331,20260429,20260429,20260429,000692_fin.csv,REAL_FUNDAMENTALS
000695,20260331,20260429,20260429,20260429,000695_fin.csv,REAL_FUNDAMENTALS
000697,20260331,20260428,20260428,20260428,000697_fin.csv,REAL_FUNDAMENTALS
000698,20260331,20260425,20260425,20260425,000698_fin.csv,REAL_FUNDAMENTALS
000700,20260331,20260430,20260430,20260430,000700_fin.csv,REAL_FUNDAMENTALS
000701,20260331,20260424,20260424,20260424,000701_fin.csv,REAL_FUNDAMENTALS
000702,20260331,20260430,20260430,20260430,000702_fin.csv,REAL_FUNDAMENTALS
000703,20260331,20260415,20260415,20260415,000703_fin.csv,REAL_FUNDAMENTALS
000705,20260331,20260429,20260429,20260429,000705_fin.csv,REAL_FUNDAMENTALS
000707,20260331,20260429,20260429,20260429,000707_fin.csv,REAL_FUNDAMENTALS
000708,20260331,20260423,20260423,20260423,000708_fin.csv,REAL_FUNDAMENTALS
000709,20260331,20260429,20260429,20260429,000709_fin.csv,REAL_FUNDAMENTALS
000710,20260331,20260430,20260430,20260430,000710_fin.csv,REAL_FUNDAMENTALS
000711,20260331,20260428,20260428,20260428,000711_fin.csv,REAL_FUNDAMENTALS
000712,20260331,20260429,20260429,20260429,000712_fin.csv,REAL_FUNDAMENTALS
000713,20260331,20260430,20260430,20260430,000713_fin.csv,REAL_FUNDAMENTALS
000715,20260331,20260425,20260425,20260425,000715_fin.csv,REAL_FUNDAMENTALS
000716,20260331,20260428,20260428,20260428,000716_fin.csv,REAL_FUNDAMENTALS
