rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260430,002465,0.94676,-0.0201,46.5359,0.0044,-4.371822,-4.371822,20260425,20260425,20260425,F06
20260430,002466,7.88285,0.1519,28.3945,2.2002,0.435865,0.435865,20260428,20260428,20260428,F06
20260430,002467,-0.16253,0.0223,20.399,-0.0153,-2.090319,-2.090319,20260430,20260430,20260430,F06
20260430,002468,3.6366,0.4192,62.11,0.5833,-4.80286,-4.80286,20260428,20260428,20260428,F06
20260430,002469,0.7985,-0.2656,23.9491,-0.0027,-2.20956,-2.20956,20260425,20260425,20260425,F06
20260430,002470,0.40006,0.0341,82.2642,0.0049,-8.097622,-8.097622,20260430,20260430,20260430,F06
20260430,002471,0.13123,-0.3681,66.0497,-0.0055,-6.641421,-6.641421,20260430,20260430,20260430,F06
20260430,002474,0.12574,0.003,45.5414,-0.021,-4.524218,-4.524218,20260428,20260428,20260428,F06
20260430,002475,4.68074,-0.9701,66.5318,0.9619,-5.058218,-5.058218,20260429,20260429,20260429,F06
20260430,002476,0.95669,-0.0902,15.7114,0.0321,-1.289333,-1.289333,20260428,20260428,20260428,F06
20260430,002478,1.92318,0.0755,31.1722,0.131,-2.472766,-2.472766,20260424,20260424,20260424,F06
20260430,002479,2.24796,0.053,46.3754,0.2198,-3.864632,-3.864632,20260415,20260415,20260415,F06
20260430,002480,-2.1033,-0.1443,84.1124,-0.0745,-9.10089,-9.10089,20260429,20260429,20260429,F06
20260430,002481,0.70679,0.0739,47.2622,0.0208,-4.491083,-4.491083,20260424,20260424,20260424,F06
20260430,002482,-2.74668,-0.0275,83.8987,-0.0111,-9.223814,-9.223814,20260424,20260424,20260424,F06
20260430,002483,1.81235,-0.4456,59.2665,0.1471,-5.413225,-5.413225,20260428,20260428,20260428,F06
20260430,002484,2.8449,0.2335,26.0106,0.3623,-1.55597,-1.55597,20260424,20260424,20260424,F06
20260430,002485,-0.40203,0.0149,33.9936,-0.0476,-3.536029,-3.536029,20260429,20260429,20260429,F06
20260430,002486,0.33242,0.0237,16.1237,0.0028,-1.506784,-1.506784,20260430,20260430,20260430,F06
20260430,002487,5.49302,0.6861,37.1145,1.3136,-1.400884,-1.400884,20260428,20260428,20260428,F06
20260430,002488,1.03682,-0.213,56.9065,0.0414,-5.405644,-5.405644,20260427,20260427,20260427,F06
20260430,002489,2.15547,0.1312,43.8466,0.1176,-3.664739,-3.664739,20260430,20260430,20260430,F06
20260430,002490,0.68588,0.1145,81.9654,0.0097,-7.963996,-7.963996,20260422,20260422,20260422,F06
20260430,002491,1.45008,-0.0143,56.1071,0.0697,-5.150666,-5.150666,20260430,20260430,20260430,F06
20260430,002492,1.42377,0.3837,24.2086,0.0873,-1.882069,-1.882069,20260425,20260425,20260425,F06
