ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
601601,20251009,60D,,,OUTCOME_LABEL_ONLY
603259,20251009,5D,-0.104475,20251016,OUTCOME_LABEL_ONLY
603259,20251009,20D,-0.15206,20251106,OUTCOME_LABEL_ONLY
603259,20251009,60D,,,OUTCOME_LABEL_ONLY
002371,20251009,5D,-0.103395,20251016,OUTCOME_LABEL_ONLY
002371,20251009,20D,-0.102718,20251106,OUTCOME_LABEL_ONLY
002371,20251009,60D,,,OUTCOME_LABEL_ONLY
601211,20251009,5D,0.020867,20251016,OUTCOME_LABEL_ONLY
601211,20251009,20D,0.058855,20251106,OUTCOME_LABEL_ONLY
601211,20251009,60D,,,OUTCOME_LABEL_ONLY
300274,20251009,5D,0.025867,20251016,OUTCOME_LABEL_ONLY
300274,20251009,20D,0.292718,20251106,OUTCOME_LABEL_ONLY
300274,20251009,60D,,,OUTCOME_LABEL_ONLY
002415,20251009,5D,-0.022534,20251016,OUTCOME_LABEL_ONLY
002415,20251009,20D,-0.069359,20251106,OUTCOME_LABEL_ONLY
002415,20251009,60D,,,OUTCOME_LABEL_ONLY
300760,20251009,5D,-0.069731,20251016,OUTCOME_LABEL_ONLY
300760,20251009,20D,-0.168748,20251106,OUTCOME_LABEL_ONLY
300760,20251009,60D,,,OUTCOME_LABEL_ONLY
002714,20251009,5D,-0.028761,20251016,OUTCOME_LABEL_ONLY
002714,20251009,20D,-0.068117,20251106,OUTCOME_LABEL_ONLY
002714,20251009,60D,,,OUTCOME_LABEL_ONLY
600930,20251009,5D,-0.004651,20251016,OUTCOME_LABEL_ONLY
600930,20251009,20D,0.010853,20251106,OUTCOME_LABEL_ONLY
600930,20251009,60D,,,OUTCOME_LABEL_ONLY
600150,20251009,5D,0.007135,20251016,OUTCOME_LABEL_ONLY
600150,20251009,20D,0.02597,20251106,OUTCOME_LABEL_ONLY
600150,20251009,60D,,,OUTCOME_LABEL_ONLY
601127,20251009,5D,0.003438,20251016,OUTCOME_LABEL_ONLY
601127,20251009,20D,-0.111688,20251106,OUTCOME_LABEL_ONLY
601127,20251009,60D,,,OUTCOME_LABEL_ONLY
601816,20251009,5D,0.005825,20251016,OUTCOME_LABEL_ONLY
601816,20251009,20D,0.01165,20251106,OUTCOME_LABEL_ONLY
601816,20251009,60D,,,OUTCOME_LABEL_ONLY
300476,20251009,5D,-0.064562,20251016,OUTCOME_LABEL_ONLY
300476,20251009,20D,0.107721,20251106,OUTCOME_LABEL_ONLY
300476,20251009,60D,,,OUTCOME_LABEL_ONLY
302132,20251009,5D,-0.005873,20251016,OUTCOME_LABEL_ONLY
302132,20251009,20D,-0.066046,20251106,OUTCOME_LABEL_ONLY
302132,20251009,60D,,,OUTCOME_LABEL_ONLY
300124,20251009,5D,-0.091441,20251016,OUTCOME_LABEL_ONLY
300124,20251009,20D,-0.162074,20251106,OUTCOME_LABEL_ONLY
300124,20251009,60D,,,OUTCOME_LABEL_ONLY
000063,20251009,5D,0.081032,20251016,OUTCOME_LABEL_ONLY
000063,20251009,20D,-0.147659,20251106,OUTCOME_LABEL_ONLY
000063,20251009,60D,,,OUTCOME_LABEL_ONLY
600690,20251009,5D,-0.007469,20251016,OUTCOME_LABEL_ONLY
600690,20251009,20D,0.059748,20251106,OUTCOME_LABEL_ONLY
600690,20251009,60D,,,OUTCOME_LABEL_ONLY
600809,20251009,5D,0.044172,20251016,OUTCOME_LABEL_ONLY
600809,20251009,20D,-0.012606,20251106,OUTCOME_LABEL_ONLY
600809,20251009,60D,,,OUTCOME_LABEL_ONLY
603288,20251009,5D,0.01093,20251016,OUTCOME_LABEL_ONLY
603288,20251009,20D,-0.041434,20251106,OUTCOME_LABEL_ONLY
603288,20251009,60D,,,OUTCOME_LABEL_ONLY
601668,20251009,5D,0.016187,20251016,OUTCOME_LABEL_ONLY
601668,20251009,20D,-0.02518,20251106,OUTCOME_LABEL_ONLY
601668,20251009,60D,,,OUTCOME_LABEL_ONLY
000651,20251009,5D,0.009658,20251016,OUTCOME_LABEL_ONLY
000651,20251009,20D,-0.009658,20251106,OUTCOME_LABEL_ONLY
000651,20251009,60D,,,OUTCOME_LABEL_ONLY
601766,20251009,5D,0.01027,20251016,OUTCOME_LABEL_ONLY
601766,20251009,20D,0.015404,20251106,OUTCOME_LABEL_ONLY
601766,20251009,60D,,,OUTCOME_LABEL_ONLY
688347,20251009,5D,-0.056097,20251016,OUTCOME_LABEL_ONLY
688347,20251009,20D,-0.008492,20251106,OUTCOME_LABEL_ONLY
