rebalance_date,ticker,outcome_20d_return,outcome_60d_return,label_known_after,role
20210831,000550,-0.198567,-0.107984,20211202,OUTCOME_LABEL_ONLY
20210831,000551,0.074253,0.050145,20211202,OUTCOME_LABEL_ONLY
20210831,000552,0.14497,-0.130178,20211202,OUTCOME_LABEL_ONLY
20210831,000553,-0.056191,-0.157128,20211202,OUTCOME_LABEL_ONLY
20210831,000554,0.165217,0.023913,20211202,OUTCOME_LABEL_ONLY
20210831,000555,-0.037577,-0.059049,20211202,OUTCOME_LABEL_ONLY
20210831,000557,-0.008,-0.005333,20211202,OUTCOME_LABEL_ONLY
20210831,000558,0.139706,0.220588,20211202,OUTCOME_LABEL_ONLY
20210831,000559,-0.048986,0.126689,20211202,OUTCOME_LABEL_ONLY
20210831,000560,-0.020588,-0.132353,20211202,OUTCOME_LABEL_ONLY
20210831,000561,-0.103405,-0.022699,20211202,OUTCOME_LABEL_ONLY
20210831,000563,0.0,-0.045872,20211202,OUTCOME_LABEL_ONLY
20210831,000564,,0.85214,20211202,OUTCOME_LABEL_ONLY
20210831,000565,-0.169034,-0.125,20211202,OUTCOME_LABEL_ONLY
20210831,000566,-0.076605,-0.099379,20211202,OUTCOME_LABEL_ONLY
20210831,000567,0.164516,0.576613,20211202,OUTCOME_LABEL_ONLY
20210831,000568,0.303412,0.395176,20211202,OUTCOME_LABEL_ONLY
20210831,000570,-0.146233,-0.125554,20211202,OUTCOME_LABEL_ONLY
20210831,000571,0.063107,0.378641,20211202,OUTCOME_LABEL_ONLY
20210831,000572,-0.115774,-0.028944,20211202,OUTCOME_LABEL_ONLY
20210831,000573,0.038835,-0.035599,20211202,OUTCOME_LABEL_ONLY
20210831,000576,-0.1967,-0.122112,20211202,OUTCOME_LABEL_ONLY
20210831,000581,-0.107081,-0.066062,20211202,OUTCOME_LABEL_ONLY
20210831,000582,0.030809,-0.002567,20211202,OUTCOME_LABEL_ONLY
20210831,000586,-0.069136,0.123457,20211202,OUTCOME_LABEL_ONLY
20210831,000589,-0.010714,0.055357,20211202,OUTCOME_LABEL_ONLY
20210831,000590,-0.031542,-0.029206,20211202,OUTCOME_LABEL_ONLY
20210831,000591,0.660502,0.387054,20211202,OUTCOME_LABEL_ONLY
20210831,000592,-0.042484,-0.029412,20211202,OUTCOME_LABEL_ONLY
20210831,000593,0.082215,-0.013423,20211202,OUTCOME_LABEL_ONLY
20210831,000595,0.031008,0.007752,20211202,OUTCOME_LABEL_ONLY
20210831,000596,0.125094,0.208019,20211202,OUTCOME_LABEL_ONLY
20210831,000597,-0.017143,0.007619,20211202,OUTCOME_LABEL_ONLY
20210831,000598,0.030686,0.120939,20211202,OUTCOME_LABEL_ONLY
20210831,000599,-0.010309,0.036082,20211202,OUTCOME_LABEL_ONLY
20210831,000600,0.281596,0.006652,20211202,OUTCOME_LABEL_ONLY
20210831,000601,0.231092,0.010504,20211202,OUTCOME_LABEL_ONLY
20210831,000603,-0.16993,-0.14965,20211202,OUTCOME_LABEL_ONLY
20210831,000605,0.079245,0.0,20211202,OUTCOME_LABEL_ONLY
20210831,000607,0.022792,0.082621,20211202,OUTCOME_LABEL_ONLY
20210831,000608,-0.079268,-0.115854,20211202,OUTCOME_LABEL_ONLY
20210831,000609,-0.109756,-0.004065,20211202,OUTCOME_LABEL_ONLY
20210831,000610,-0.153925,-0.197757,20211202,OUTCOME_LABEL_ONLY
20210831,000612,-0.167846,-0.239636,20211202,OUTCOME_LABEL_ONLY
20210831,000615,0.075153,-0.18635,20211202,OUTCOME_LABEL_ONLY
20210831,000617,0.009506,-0.055133,20211202,OUTCOME_LABEL_ONLY
20210831,000619,-0.02277,-0.049336,20211202,OUTCOME_LABEL_ONLY
20210831,000620,0.015,-0.075,20211202,OUTCOME_LABEL_ONLY
20210831,000623,0.059119,0.051572,20211202,OUTCOME_LABEL_ONLY
20210831,000625,-0.190107,-0.150824,20211202,OUTCOME_LABEL_ONLY
20210831,000626,-0.083551,-0.103568,20211202,OUTCOME_LABEL_ONLY
20210831,000628,0.015777,0.18932,20211202,OUTCOME_LABEL_ONLY
20210831,000629,0.023504,-0.200855,20211202,OUTCOME_LABEL_ONLY
20210831,000630,-0.08,-0.188235,20211202,OUTCOME_LABEL_ONLY
20210831,000631,0.230508,0.186441,20211202,OUTCOME_LABEL_ONLY
20210831,000632,-0.002985,0.029851,20211202,OUTCOME_LABEL_ONLY
20210831,000633,-0.17223,-0.106809,20211202,OUTCOME_LABEL_ONLY
20210831,000635,0.034314,-0.070028,20211202,OUTCOME_LABEL_ONLY
20210831,000636,-0.043553,-0.014403,20211202,OUTCOME_LABEL_ONLY
20210831,000637,-0.030435,-0.063043,20211202,OUTCOME_LABEL_ONLY
20210831,000638,-0.108987,-0.043977,20211202,OUTCOME_LABEL_ONLY
20210831,000639,-0.062738,-0.076046,20211202,OUTCOME_LABEL_ONLY
20210831,000650,-0.055556,-0.04195,20211202,OUTCOME_LABEL_ONLY
20210831,000651,-0.057178,-0.145985,20211202,OUTCOME_LABEL_ONLY
20210831,000652,0.002488,0.004975,20211202,OUTCOME_LABEL_ONLY
20210831,000655,-0.210392,-0.263203,20211202,OUTCOME_LABEL_ONLY
20210831,000656,0.075,-0.125,20211202,OUTCOME_LABEL_ONLY
20210831,000657,-0.245192,0.233516,20211202,OUTCOME_LABEL_ONLY
20210831,000659,-0.125,-0.131356,20211202,OUTCOME_LABEL_ONLY
20210831,000661,0.076085,0.098613,20211202,OUTCOME_LABEL_ONLY
20210831,000663,-0.131105,-0.152528,20211202,OUTCOME_LABEL_ONLY
20210831,000665,-0.010811,-0.040541,20211202,OUTCOME_LABEL_ONLY
20210831,000668,-0.054496,-0.076294,20211202,OUTCOME_LABEL_ONLY
20210831,000669,-0.167247,-0.132404,20211202,OUTCOME_LABEL_ONLY
20210831,000672,-0.008381,0.022001,20211202,OUTCOME_LABEL_ONLY
20210831,000676,-0.172194,-0.135204,20211202,OUTCOME_LABEL_ONLY
20210831,000677,-0.09434,0.018868,20211202,OUTCOME_LABEL_ONLY
20210831,000678,-0.1,-0.124528,20211202,OUTCOME_LABEL_ONLY
20210831,000679,0.050667,0.072,20211202,OUTCOME_LABEL_ONLY
20210831,000680,-0.029885,-0.068966,20211202,OUTCOME_LABEL_ONLY
20210831,000681,0.045059,0.300395,20211202,OUTCOME_LABEL_ONLY
20210831,000682,0.198095,0.468571,20211202,OUTCOME_LABEL_ONLY
20210831,000683,-0.17591,-0.350087,20211202,OUTCOME_LABEL_ONLY
20210831,000685,0.04382,-0.034831,20211202,OUTCOME_LABEL_ONLY
20210831,000686,0.010539,0.038642,20211202,OUTCOME_LABEL_ONLY
20210831,000688,-0.1624,0.1168,20211202,OUTCOME_LABEL_ONLY
20210831,000690,0.22043,-0.028674,20211202,OUTCOME_LABEL_ONLY
20210831,000691,-0.048387,-0.070565,20211202,OUTCOME_LABEL_ONLY
