rebalance_date,ticker,short_rank,medium_rank,rank_acceleration,turnover,price_momentum_20d,price_momentum_60d,known_at_max,feature_source_mode
20210831,000507,-0.048969,0.23,-0.279,0.031471,-0.048969,0.23,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000509,0.113879,0.181132,-0.0673,0.011168,0.113879,0.181132,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000510,0.204117,0.415323,-0.2112,0.049733,0.204117,0.415323,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000513,-0.062084,-0.217969,0.1559,0.013901,-0.062084,-0.217969,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000514,-0.003247,-0.132768,0.1295,0.002495,-0.003247,-0.132768,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000516,-0.215181,-0.489943,0.2748,0.022041,-0.215181,-0.489943,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000517,0.016393,-0.104693,0.1211,0.003484,0.016393,-0.104693,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000518,-0.116848,-0.173028,0.0562,0.004663,-0.116848,-0.173028,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000519,0.54065,0.696509,-0.1559,0.072417,0.54065,0.696509,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000520,0.034268,0.057325,-0.0231,0.005519,0.034268,0.057325,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000521,0.021021,-0.076087,0.0971,0.02113,0.021021,-0.076087,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000523,0.099217,0.19943,-0.1002,0.004288,0.099217,0.19943,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000524,0.086364,-0.041444,0.1278,0.002705,0.086364,-0.041444,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000525,0.125,0.060096,0.0649,0.038951,0.125,0.060096,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000526,0.101667,-0.395427,0.4971,0.067108,0.101667,-0.395427,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000528,0.087291,0.003555,0.0837,0.05028,0.087291,0.003555,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000529,0.080392,-0.033333,0.1137,0.00901,0.080392,-0.033333,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000530,0.038462,-0.091346,0.1298,0.007341,0.038462,-0.091346,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000531,0.134266,-0.026411,0.1607,0.013035,0.134266,-0.026411,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000532,-0.032198,0.219189,-0.2514,0.027607,-0.032198,0.219189,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000533,0.137809,0.084175,0.0536,0.021561,0.137809,0.084175,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000534,0.201868,0.312157,-0.1103,0.011222,0.201868,0.312157,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000536,0.003968,-0.076642,0.0806,0.005033,0.003968,-0.076642,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000537,0.051685,-0.144424,0.1961,0.002706,0.051685,-0.144424,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000538,-0.117688,-0.267206,0.1495,0.014098,-0.117688,-0.267206,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000539,0.064343,0.058667,0.0057,0.003025,0.064343,0.058667,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000541,0.055077,0.060554,-0.0055,0.005704,0.055077,0.060554,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000543,0.052198,0.0,0.0522,0.015656,0.052198,0.0,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000544,0.051839,0.009631,0.0422,0.009866,0.051839,0.009631,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000545,0.3625,0.445623,-0.0831,0.158168,0.3625,0.445623,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000546,0.251944,0.125874,0.1261,0.068134,0.251944,0.125874,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000547,-0.104227,0.009746,-0.114,0.069526,-0.104227,0.009746,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000548,0.002653,-0.033248,0.0359,0.009667,0.002653,-0.033248,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000550,0.038257,-0.168864,0.2071,0.01098,0.038257,-0.168864,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000551,-0.075758,0.228673,-0.3044,0.017649,-0.075758,0.228673,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000552,0.238095,0.145763,0.0923,0.031249,0.238095,0.145763,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000553,-0.054134,0.068966,-0.1231,0.002789,-0.054134,0.068966,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000554,0.059908,-0.01919,0.0791,0.017976,0.059908,-0.01919,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000555,-0.006098,-0.147712,0.1416,0.008696,-0.006098,-0.147712,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000557,0.096491,-0.00266,0.0992,0.008739,0.096491,-0.00266,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000558,0.054264,-0.108197,0.1625,0.010572,0.054264,-0.108197,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000559,0.060932,0.172277,-0.1113,0.012448,0.060932,0.172277,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000560,-0.025788,-0.310345,0.2846,0.01689,-0.025788,-0.310345,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000561,0.028534,0.203338,-0.1748,0.044644,0.028534,0.203338,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000563,0.051447,-0.01506,0.0665,0.006297,0.051447,-0.01506,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000564,0.093617,-0.003876,0.0975,0.010713,0.093617,-0.003876,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000565,0.084746,0.159802,-0.0751,0.025964,0.084746,0.159802,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000566,-0.024242,-0.190955,0.1667,0.004113,-0.024242,-0.190955,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000567,0.083916,0.269191,-0.1853,0.007823,0.083916,0.269191,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000568,-0.095023,-0.39976,0.3047,0.011907,-0.095023,-0.39976,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000570,0.022659,0.19823,-0.1756,0.024146,0.022659,0.19823,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000571,0.05102,-0.023697,0.0747,0.010748,0.05102,-0.023697,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000572,-0.025388,0.183219,-0.2086,0.035026,-0.025388,0.183219,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000573,0.072917,-0.069277,0.1422,0.012602,0.072917,-0.069277,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000576,0.444233,0.306034,0.1382,0.058817,0.444233,0.306034,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000581,0.121007,-0.062728,0.1837,0.018793,0.121007,-0.062728,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000582,0.001285,-0.061446,0.0627,0.002167,0.001285,-0.061446,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000586,-0.071101,0.126565,-0.1977,0.023037,-0.071101,0.126565,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000589,0.040892,-0.081967,0.1229,0.009921,0.040892,-0.081967,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000590,-0.01496,0.028846,-0.0438,0.008894,-0.01496,0.028846,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000591,0.061711,0.173643,-0.1119,0.068359,0.061711,0.173643,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000592,0.066202,-0.123209,0.1894,0.037011,0.066202,-0.123209,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000593,0.223819,0.223819,0.0,0.073426,0.223819,0.223819,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000595,-0.019011,-0.003861,-0.0152,0.006329,-0.019011,-0.003861,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000596,0.091546,-0.167975,0.2595,0.008386,0.091546,-0.167975,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000597,-0.003795,0.05,-0.0538,0.004509,-0.003795,0.05,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000598,0.119192,0.049242,0.0699,0.00846,0.119192,0.049242,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000599,0.031915,-0.089202,0.1211,0.004637,0.031915,-0.089202,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000600,-0.002212,-0.113949,0.1117,0.009996,-0.002212,-0.113949,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000601,-0.02459,-0.161972,0.1374,0.004738,-0.02459,-0.161972,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000603,0.137629,0.025825,0.1118,0.043101,0.137629,0.025825,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000605,0.070707,-0.025735,0.0964,0.007592,0.070707,-0.025735,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000607,0.020349,-0.076316,0.0967,0.005169,0.020349,-0.076316,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000608,-0.060172,-0.088889,0.0287,0.017278,-0.060172,-0.088889,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000609,0.566879,0.828996,-0.2621,0.005092,0.566879,0.828996,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000610,0.238636,0.046958,0.1917,0.035255,0.238636,0.046958,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000612,0.20757,0.279431,-0.0719,0.08297,0.20757,0.279431,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000615,-0.211131,-0.447458,0.2363,0.031405,-0.211131,-0.447458,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000617,0.011538,-0.136289,0.1478,0.001126,0.011538,-0.136289,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000619,0.037402,0.00381,0.0336,0.013288,0.037402,0.00381,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000620,-0.029126,-0.259259,0.2301,0.006814,-0.029126,-0.259259,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000623,0.026469,0.019231,0.0072,0.016569,0.026469,0.019231,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000625,0.139856,-0.095614,0.2355,0.024792,0.139856,-0.095614,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000626,-0.08954,0.249592,-0.3391,0.00962,-0.08954,0.249592,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000628,0.057766,-0.039627,0.0974,0.009058,0.057766,-0.039627,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000629,0.695652,1.070796,-0.3751,0.051609,0.695652,1.070796,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000630,0.214286,0.501767,-0.2875,0.067157,0.214286,0.501767,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000631,-0.016667,0.0,-0.0167,0.000924,-0.016667,0.0,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000632,0.012085,-0.149746,0.1618,0.01188,0.012085,-0.149746,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000633,-0.044643,0.04902,-0.0937,0.016442,-0.044643,0.04902,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000635,0.275,0.285329,-0.0103,0.078425,0.275,0.285329,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000636,-0.148613,0.087248,-0.2359,0.031902,-0.148613,0.087248,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000637,0.130221,0.167513,-0.0373,0.023777,0.130221,0.167513,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000638,0.167411,-0.101375,0.2688,0.029512,0.167411,-0.101375,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000639,0.029354,-0.139116,0.1685,0.014283,0.029354,-0.139116,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000650,-0.104569,-0.171831,0.0673,0.0096,-0.104569,-0.171831,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000651,-0.164804,-0.257587,0.0928,0.010969,-0.164804,-0.257587,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000652,-0.060748,-0.118421,0.0577,0.00842,-0.060748,-0.118421,20210831,REAL_HISTORICAL_PRICE_BARS
20210831,000655,0.230608,0.153242,0.0774,0.103708,0.230608,0.153242,20210831,REAL_HISTORICAL_PRICE_BARS
