ticker,name,sector,industry,sector_code,theme,market,list_date,source_file
603029,天鹅股份,农用机械,农用机械,农用机械,,,20160427,data/tushare/stock_basic.csv
002812,恩捷股份,电气设备,电气设备,电气设备,,,20160914,data/tushare/stock_basic.csv
603639,海利尔,农药化肥,农药化肥,农药化肥,,,20170112,data/tushare/stock_basic.csv
300422,博世科,环境保护,环境保护,环境保护,,,20150217,data/tushare/stock_basic.csv
300542,新晨科技,软件服务,软件服务,软件服务,,,20160920,data/tushare/stock_basic.csv
300509,新美星,专用机械,专用机械,专用机械,,,20160425,data/tushare/stock_basic.csv
300499,高澜股份,专用机械,专用机械,专用机械,,,20160202,data/tushare/stock_basic.csv
603007,顺景科技,建筑工程,建筑工程,建筑工程,,,20160826,data/tushare/stock_basic.csv
603658,安图生物,医疗保健,医疗保健,医疗保健,,,20160901,data/tushare/stock_basic.csv
603822,ST嘉澳,化工原料,化工原料,化工原料,,,20160428,data/tushare/stock_basic.csv
300503,昊志机电,机械基件,机械基件,机械基件,,,20160309,data/tushare/stock_basic.csv
603869,ST智知,软件服务,软件服务,软件服务,,,20150326,data/tushare/stock_basic.csv
603043,广州酒家,食品,食品,食品,,,20170627,data/tushare/stock_basic.csv
603313,梦百合,家居用品,家居用品,家居用品,,,20161013,data/tushare/stock_basic.csv
300508,维宏股份,软件服务,软件服务,软件服务,,,20160419,data/tushare/stock_basic.csv
300412,迦南科技,医疗保健,医疗保健,医疗保健,,,20141231,data/tushare/stock_basic.csv
603819,神力股份,电气设备,电气设备,电气设备,,,20161125,data/tushare/stock_basic.csv
603299,苏盐井神,食品,食品,食品,,,20151231,data/tushare/stock_basic.csv
603026,石大胜华,化工原料,化工原料,化工原料,,,20150529,data/tushare/stock_basic.csv
002825,纳尔股份,化工原料,化工原料,化工原料,,,20161129,data/tushare/stock_basic.csv
300525,博思软件,软件服务,软件服务,软件服务,,,20160726,data/tushare/stock_basic.csv
300545,联得装备,专用机械,专用机械,专用机械,,,20160928,data/tushare/stock_basic.csv
300543,朗科智能,元器件,元器件,元器件,,,20160908,data/tushare/stock_basic.csv
300531,优博讯,IT设备,IT设备,IT设备,,,20160809,data/tushare/stock_basic.csv
300570,太辰光,通信设备,通信设备,通信设备,,,20161206,data/tushare/stock_basic.csv
600977,中国电影,影视音像,影视音像,影视音像,,,20160809,data/tushare/stock_basic.csv
603300,海南华铁,多元金融,多元金融,多元金融,,,20150529,data/tushare/stock_basic.csv
603598,引力传媒,互联网,互联网,互联网,,,20150527,data/tushare/stock_basic.csv
603019,中科曙光,IT设备,IT设备,IT设备,,,20141106,data/tushare/stock_basic.csv
603689,皖天然气,供气供热,供气供热,供气供热,,,20170110,data/tushare/stock_basic.csv
002816,*ST和科,专用机械,专用机械,专用机械,,,20161025,data/tushare/stock_basic.csv
603519,立霸股份,家用电器,家用电器,家用电器,,,20150319,data/tushare/stock_basic.csv
002785,万里石,其他建材,其他建材,其他建材,,,20151223,data/tushare/stock_basic.csv
603067,振华股份,化工原料,化工原料,化工原料,,,20160913,data/tushare/stock_basic.csv
300665,飞鹿股份,染料涂料,染料涂料,染料涂料,,,20170613,data/tushare/stock_basic.csv
300573,兴齐眼药,化学制药,化学制药,化学制药,,,20161208,data/tushare/stock_basic.csv
300428,立中集团,汽车配件,汽车配件,汽车配件,,,20150319,data/tushare/stock_basic.csv
603601,再升科技,玻璃,玻璃,玻璃,,,20150122,data/tushare/stock_basic.csv
002835,同为股份,IT设备,IT设备,IT设备,,,20161228,data/tushare/stock_basic.csv
601878,浙商证券,证券,证券,证券,,,20170626,data/tushare/stock_basic.csv
603682,锦和商管,房产服务,房产服务,房产服务,,,20200421,data/tushare/stock_basic.csv
603886,元祖股份,食品,食品,食品,,,20161228,data/tushare/stock_basic.csv
603858,步长制药,中成药,中成药,中成药,,,20161118,data/tushare/stock_basic.csv
002736,国信证券,证券,证券,证券,,,20141229,data/tushare/stock_basic.csv
603345,安井食品,食品,食品,食品,,,20170222,data/tushare/stock_basic.csv
300426,华智数媒,影视音像,影视音像,影视音像,,,20150217,data/tushare/stock_basic.csv
002765,蓝黛科技,元器件,元器件,元器件,,,20150612,data/tushare/stock_basic.csv
002810,山东赫达,化工原料,化工原料,化工原料,,,20160826,data/tushare/stock_basic.csv
300434,金石亚药,化学制药,化学制药,化学制药,,,20150424,data/tushare/stock_basic.csv
300539,横河精密,塑料,塑料,塑料,,,20160830,data/tushare/stock_basic.csv
300488,恒锋工具,机械基件,机械基件,机械基件,,,20150701,data/tushare/stock_basic.csv
603808,歌力思,服饰,服饰,服饰,,,20150422,data/tushare/stock_basic.csv
603737,三棵树,染料涂料,染料涂料,染料涂料,,,20160603,data/tushare/stock_basic.csv
603778,国晟科技,电气设备,电气设备,电气设备,,,20151231,data/tushare/stock_basic.csv
300439,美康生物,医疗保健,医疗保健,医疗保健,,,20150422,data/tushare/stock_basic.csv
603398,*ST沐邦,电气设备,电气设备,电气设备,,,20151209,data/tushare/stock_basic.csv
603223,恒通股份,公路,公路,公路,,,20150630,data/tushare/stock_basic.csv
603016,新宏泰,电气设备,电气设备,电气设备,,,20160701,data/tushare/stock_basic.csv
300450,先导智能,专用机械,专用机械,专用机械,,,20150518,data/tushare/stock_basic.csv
300502,新易盛,通信设备,通信设备,通信设备,,,20160303,data/tushare/stock_basic.csv
300446,航天智造,汽车配件,汽车配件,汽车配件,,,20150423,data/tushare/stock_basic.csv
603628,清源股份,电气设备,电气设备,电气设备,,,20170112,data/tushare/stock_basic.csv
300427,红相股份,电气设备,电气设备,电气设备,,,20150217,data/tushare/stock_basic.csv
300493,润欣科技,元器件,元器件,元器件,,,20151210,data/tushare/stock_basic.csv
300459,汤姆猫,互联网,互联网,互联网,,,20150515,data/tushare/stock_basic.csv
300487,蓝晓科技,化工原料,化工原料,化工原料,,,20150702,data/tushare/stock_basic.csv
